metric_name,ablation_type,n_boot,restricted_r2_mean,restricted_r2_lower,restricted_r2_upper,partial_r2_mean,partial_r2_lower,partial_r2_upper
dists,Dilate,300,0.33314555178055527,0.32251130756163765,0.34433237514528087,0.07743556622690054,0.06993121580533547,0.08436125316498393
dists,Erode,300,0.4487212650002986,0.4381954304269004,0.4594748798787323,0.09261466380364636,0.08521767856843339,0.10056229646416281
dists,GaussNoise,300,0.11225030051457281,0.10427693147059172,0.12117828006616317,0.05922639331038402,0.05244090296247488,0.06684204536530926
dists,GaussianBlur,300,0.17019874383654152,0.16127485007490736,0.17993926264574367,0.0761691265434248,0.06861769394702329,0.08272507599748295
dists,GridDistortion,300,0.6723555502094468,0.6649865964811829,0.6798057377289585,0.029703487369747195,0.02538850572013976,0.03463567996642001
dists,RandomGamma,300,0.2024106935990142,0.1941797931328122,0.21019913040448085,4.5845297975400504e-05,5.1792503090815256e-08,0.00020957068482494273
foreground_psnr,Dilate,300,0.20645028853292524,0.1972172656531032,0.21836771873087832,0.000570811327778354,9.137377951014517e-05,0.001382666745591783
foreground_psnr,Erode,300,0.10729127040661228,0.09990680433214344,0.11619845521194624,0.00013743673611971876,7.851101042291994e-07,0.0005707295958667067
foreground_psnr,GaussNoise,300,0.8890336389101653,0.8865949109767146,0.891238436271938,0.052885367820901925,0.04649918501306971,0.05951436405525508
foreground_psnr,GaussianBlur,300,0.043879191329879726,0.03854400726824005,0.04977412589794906,6.0726758782483176e-05,1.3153795508574027e-07,0.0003227179185772571
foreground_psnr,GridDistortion,300,0.0074087343097895275,0.0052531293958483554,0.010163438698852008,0.002153214975654193,0.00105571839147752,0.00367305024001095
foreground_psnr,RandomGamma,300,0.024918017079521262,0.022966759253885236,0.026965564677150652,2.5378526407283554e-05,3.0954496884313474e-08,0.00011309493337075799
foreground_ssim,Dilate,300,0.20240148514594528,0.19013849047930698,0.21519772037490714,0.0008021677791242613,0.00017204490909818735,0.0016514026774568317
foreground_ssim,Erode,300,0.1738789890504495,0.16486257131613433,0.18310346352892692,0.00047101428160060504,5.150518934728339e-05,0.0011808538421647892
foreground_ssim,GaussNoise,300,0.2091824216738793,0.19855602850891982,0.2205294547952735,0.0024641780872017866,0.0012928936602592121,0.003816618237887758
foreground_ssim,GaussianBlur,300,0.05657625102763072,0.05120434923250203,0.06217146720779491,0.00010537213731729282,2.4959444832732655e-07,0.00041205333993988804
foreground_ssim,GridDistortion,300,0.03476896758549365,0.029936758965744832,0.03987345269456195,0.014933557323816177,0.011505253091008609,0.01857479480288816
foreground_ssim,RandomGamma,300,0.14321445094415255,0.13613403812305389,0.15172803641821045,3.223950846380427e-05,4.313988104400601e-08,0.00016401856982635295
lpips,Dilate,300,0.20527442681543026,0.19679043761206602,0.21653579237496728,0.1816130258020427,0.1714369461735983,0.19083980960861874
lpips,Erode,300,0.20857687857778706,0.1997295877670608,0.2177482921855719,0.18336661068317983,0.1740122397740462,0.19272808257105575
lpips,GaussNoise,300,0.2002590532831837,0.18891267826310026,0.21262142451364843,0.04832290364272657,0.042745917531273256,0.05474928772865564
lpips,GaussianBlur,300,0.06834539309038869,0.062419210717958744,0.07522816435164836,0.20014388680109532,0.19036430532778448,0.2104160840648214
lpips,GridDistortion,300,0.17414821095970498,0.1639019257628892,0.18345464006826487,0.24675231211345808,0.23736269673502836,0.25733845170119146
lpips,RandomGamma,300,0.029974761997144068,0.025962500250258022,0.034129948825410414,0.0004038200454848054,0.00011181148463062887,0.000825977734789939
mae,Dilate,300,0.1398966303996199,0.1325501299851683,0.14758058263622312,0.11271845848030008,0.10326537266439939,0.12225661085762234
mae,Erode,300,0.10945501003470282,0.10224770725019988,0.11663980939597163,0.14569311764045115,0.13598492415202978,0.15542616118232086
mae,GaussNoise,300,0.5366956869090087,0.5291937536546562,0.5438135237199263,0.04935241680799092,0.04344974005110343,0.05582547228538662
mae,GaussianBlur,300,0.0459148284218446,0.04125204453781955,0.051604560452382806,0.1326797303872178,0.12372156244016305,0.1427875238254831
mae,GridDistortion,300,0.029707665437914747,0.025036487203062792,0.034737282368507615,0.10634950984940725,0.09714640215550097,0.11557472793304535
mae,RandomGamma,300,0.091448507999493,0.08547932889219681,0.09643351226299852,0.011006443398745045,0.009072492554993317,0.012980072118220444
psnr,Dilate,300,0.2243908555275792,0.2126573389244257,0.23469529431797936,0.0647113480245458,0.057790078399610346,0.07086963825916658
psnr,Erode,300,0.18187618761540136,0.17177170154237303,0.19048715453949372,0.06900398721620955,0.062229949287416826,0.07602578962569015
psnr,GaussNoise,300,0.8714501906864904,0.8685677049888956,0.874245820214238,0.032717703193053616,0.027928439269215632,0.03757437027524226
psnr,GaussianBlur,300,0.07162393983836517,0.06404126578466937,0.08044382317540272,0.07019250302076131,0.06294773532976856,0.07664146935526493
psnr,GridDistortion,300,0.023910204990103885,0.020048722673817288,0.028344759732281073,0.03134704641874574,0.026473845970496467,0.03617354927990399
psnr,RandomGamma,300,0.13055482880543812,0.12270650499339458,0.13771400850137952,0.039381096320660024,0.03563096276179096,0.04342912819757234
ssim,Dilate,300,0.20489743905858093,0.195286389412256,0.21397337263132077,0.15829359463282305,0.14724701266826043,0.16958729638371403
ssim,Erode,300,0.17247244896590327,0.16405237997303945,0.18109685841345177,0.17089391343157773,0.1612454792588296,0.18190780170775575
ssim,GaussNoise,300,0.5828368660222414,0.5736214134742104,0.5923217400700304,0.09893979674727664,0.09067329251642814,0.10776948398404963
ssim,GaussianBlur,300,0.050448993774363037,0.04562036337138125,0.05610492084345392,0.15909765518579005,0.14770121514460346,0.16883505033031213
ssim,GridDistortion,300,0.04037578089395609,0.034699395039639584,0.04650537249687893,0.19325855414035728,0.1831007293448211,0.20526256642278948
ssim,RandomGamma,300,0.036571927904089585,0.032321455621267293,0.04069111890778972,3.583430955208308e-05,8.437052213569645e-08,0.0001730115819383505
